"Type","SKU","Name","Published","Is featured","Visibility in catalog","Short description","Description","Date sale price starts at","Date sale price ends at","Tax status","Tax class","In stock?","Stock","Backorders allowed?","Low stock amount threshold","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 1 global","Attribute 2 global","Attribute 3 global","Attribute 1 default attribute","Attribute 2 default attribute","Attribute 3 default attribute","Is variant"
"variable","тандор Нова 000001","Нова Ривьера Айс","1","0","visible","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","","","9.0","yes","","","28510.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.jpg,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.jpg,https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.webp,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.webp","","","","","","","","","","pa_цвет","","0","pa_размер","","0","pa_направление","","0","yes","yes","yes","","","",""
"","тандор Нова 000003","Нова Ривьера Айс","1","0","visible","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","860x2050","","","yes","","","28510.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.jpg,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.jpg,https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.webp,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.webp","","","тандор Нова 000001","","","","","","","Цвет","","0","Размер","860x2050","0","Направление","Левая","0","","","","","","","1"
"","тандор Нова 000005","Нова Ривьера Айс","1","0","visible","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","860x2050","","","yes","","","28510.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.jpg,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.jpg,https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.webp,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.webp","","","тандор Нова 000001","","","","","","","Цвет","","0","Размер","860x2050","0","Направление","Правая","0","","","","","","","1"
"","тандор Нова 000007","Нова Ривьера Айс","1","0","visible","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","960x2050","","","yes","","","28510.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.jpg,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.jpg,https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.webp,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.webp","","","тандор Нова 000001","","","","","","","Цвет","","0","Размер","960x2050","0","Направление","Левая","0","","","","","","","1"
"","тандор Нова 000009","Нова Ривьера Айс","1","0","visible","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","Ривьера Айс / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","960x2050","","","yes","","","28510.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.jpg,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.jpg,https://tandoor.ru/upload/resize_cache/iblock/306/hqvgtn4wo8i5sjj7xc921z952rykaay5/440_550_1/2_nova__25_05_2026__04_43_29.webp,https://tandoor.ru/upload/resize_cache/iblock/6b5/yovtgltdh6j62tgwkl3u9qcbnz6dwtg4/440_550_1/1_nova__25_05_2026__04_43_28.webp","","","тандор Нова 000001","","","","","","","Цвет","","0","Размер","960x2050","0","Направление","Правая","0","","","","","","","1"
"variable","тандор Нуар 000010","Нуар","1","0","visible","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","","","9.0","yes","","","43110.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.webp,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.webp","","","","","","","","","","pa_цвет","","0","pa_размер","","0","pa_направление","","0","yes","yes","yes","","","",""
"","тандор Нуар 000012","Нуар","1","0","visible","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","850x2030","","","yes","","","43110.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.webp,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.webp","","","тандор Нуар 000010","","","","","","","Цвет","","0","Размер","850x2030","0","Направление","Левая","0","","","","","","","1"
"","тандор Нуар 000014","Нуар","1","0","visible","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","850x2030","","","yes","","","43110.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.webp,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.webp","","","тандор Нуар 000010","","","","","","","Цвет","","0","Размер","850x2030","0","Направление","Правая","0","","","","","","","1"
"","тандор Нуар 000016","Нуар","1","0","visible","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","950x2030","","","yes","","","43110.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.webp,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.webp","","","тандор Нуар 000010","","","","","","","Цвет","","0","Размер","950x2030","0","Направление","Левая","0","","","","","","","1"
"","тандор Нуар 000018","Нуар","1","0","visible","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","Белый матовый / 850x2030 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","950x2030","","","yes","","","43110.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.jpg,https://tandoor.ru/upload/resize_cache/iblock/8c3/2cxw5wwg1gy7jauq680pow0pz0cqxksb/440_550_1/2_nuar__25_05_2026__04_49_42.webp,https://tandoor.ru/upload/resize_cache/iblock/10e/hdm1h9cepykijoa6v1du6np8p4yyulno/440_550_1/1_nuar__25_05_2026__04_49_42.webp","","","тандор Нуар 000010","","","","","","","Цвет","","0","Размер","950x2030","0","Направление","Правая","0","","","","","","","1"
