Name	Vendor	SKU	Parental	Наличие	stock_status	Images	Manufacturer	Attribute name 	Attribute values	price	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Categories 	Tags	Brand	Description	Availability	Attribute name 	Attribute values
  MONE 01 ПГ	FLYDOORS	FLYDOORS MONE 01 000169		в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c64-4855-11ed-ab46-ac1f6bdc43ac/T0000000067.JPEG	FLYDOORS>MONE	Размер	60*200|70*200| 80*200| 90*200	11760	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 01 ПГ	FLYDOORS	FLYDOORS MONE 01 000170	FLYDOORS MONE 01 000169	в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c68-4855-11ed-ab46-ac1f6bdc43ac/T0000000069_hIzxhIi.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Ваниль	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 01 ПГ	FLYDOORS	FLYDOORS MONE 01 000171	FLYDOORS MONE 01 000169	в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c66-4855-11ed-ab46-ac1f6bdc43ac/T0000000068.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Серый	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 01 ПО	FLYDOORS	FLYDOORS MONE 01 000172	FLYDOORS MONE 01 000169	в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c7c-4855-11ed-ab46-ac1f6bdc43ac/T0000000079_HlTdlz8.JPEG	FLYDOORS>MONE	Размер	60*200|70*200| 80*200| 90*200	11760	Цвет	Белый	Остекление	Матовое узор	Вид двери	Остекленная	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 01 ПО	FLYDOORS	FLYDOORS MONE 01 000173	FLYDOORS MONE 01 000169	в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c7c-4855-11ed-ab46-ac1f6bdc43ac/T0000000079_HlTdlz8.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Белый	Остекление	Матовое узор	Вид двери	Остекленная	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 01 ПО	FLYDOORS	FLYDOORS MONE 01 000174	FLYDOORS MONE 01 000169	в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c80-4855-11ed-ab46-ac1f6bdc43ac/T0000000081.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Ваниль	Остекление	Матовое узор	Вид двери	Остекленная	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 01 ПО	FLYDOORS	FLYDOORS MONE 01 000175	FLYDOORS MONE 01 000169	в наличии	instock	https://lk.prdveri.ru/media/products_images/b7/b7582c7e-4855-11ed-ab46-ac1f6bdc43ac/T0000000080_sSM19Eq.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Серый	Остекление	Матовое узор	Вид двери	Остекленная	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 02 ПГ	FLYDOORS	FLYDOORS MONE 02 000176		в наличии	instock	https://lk.prdveri.ru/media/products_images/a8/a8f8f46e-6eb9-11ed-ab48-ac1f6bdc43ac/T0000000291.JPEG	FLYDOORS>MONE	Размер	60*200|70*200| 80*200| 90*200	11760	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 02 ПГ	FLYDOORS	FLYDOORS MONE 02 000177	FLYDOORS MONE 02 000176	в наличии	instock	https://lk.prdveri.ru/media/products_images/a8/a8f8f46e-6eb9-11ed-ab48-ac1f6bdc43ac/T0000000291.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 02 ПГ	FLYDOORS	FLYDOORS MONE 02 000178	FLYDOORS MONE 02 000176	в наличии	instock	https://lk.prdveri.ru/media/products_images/a8/a8f8f470-6eb9-11ed-ab48-ac1f6bdc43ac/T0000000292.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Ваниль	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
